STAT WEEK,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 06/1,0.13,0.36,0.75,0.00,4.82,3.79,0.00,0.00,0.00,0.00,0.00,,,,,,,,
 06/2,0.05,,,0.00,3.63,4.62,3.70,0.00,0.00,0.00,9.82,,,,,,,,
 06/3,,,2.40,3.47,5.39,3.45,4.31,1.93,12.06,2.59,11.56,3.33,8.49,7.61,8.62,0.00,6.50,,
 06/4,,,5.80,6.54,10.70,10.25,5.89,2.92,18.03,7.39,13.92,5.79,11.45,15.71,11.75,5.80,17.50,,
 07/1,8.66,13.11,10.22,9.79,22.05,9.31,10.83,5.33,11.49,6.50,23.92,12.93,20.33,13.05,58.54,9.50,38.00,20.00,36.68
 07/2,25.90,15.33,,0.00,31.27,18.87,17.49,6.08,15.13,10.27,101.54,13.19,44.37,22.99,107.85,16.30,115.90,31.25,51.16
 07/3,41.47,11.00,,77.30,22.18,36.76,23.56,6.87,20.94,13.46,203.72,167.49,177.42,51.32,95.64,103.20,124.40,62.16,100.81
 07/4,25.50,,53.90,52.05,39.43,76.65,98.15,26.85,110.62,50.28,122.28,57.88,126.11,59.25,87.94,93.00,116.90,77.81,90.62
 07/5,22.59,39.15,90.36,82.16,98.33,68.49,76.78,34.32,109.53,50.94,98.71,50.62,119.14,66.98,107.34,68.30,104.30,44.22,
 08/1,19.69,78.29,126.82,112.27,157.24,60.33,55.41,41.79,108.43,51.60,75.14,43.35,112.18,74.71,105.49,76.40,68.70,45.90,102.08
 08/2,31.66,80.08,102.63,91.71,130.28,37.38,51.31,47.46,104.52,57.68,79.55,69.13,89.94,75.33,70.63,60.30,69.50,60.80,66.07
 08/3,15.42,67.48,106.83,92.30,116.98,37.74,85.17,38.88,72.56,43.27,64.60,79.00,76.02,101.23,63.99,32.30,42.30,25.91,29.10
 08/4,54.99,81.66,73.37,89.45,88.38,19.39,53.62,15.16,41.59,37.14,76.39,40.98,70.17,89.99,45.26,25.10,44.90,13.95,9.98
 09/1,32.98,77.89,55.65,74.65,84.68,16.42,42.18,12.84,54.01,40.21,68.09,30.02,78.34,37.99,43.28,25.10,51.50,11.18,2.85
 09/2,21.21,28.58,27.73,50.38,57.46,15.40,29.20,8.91,33.05,40.81,48.28,47.74,92.51,27.99,41.36,22.40,28.20,6.99,5.01
 09/3,21.42,16.79,49.50,48.22,47.15,3.56,60.25,12.15,29.15,31.77,44.36,21.48,114.15,34.50,28.13,12.60,20.70,4.73,2.53
 09/4,12.17,3.91,,10.14,37.42,2.33,4.50,13.32,18.41,21.53,0.00,27.92,44.98,67.23,5.93,9.10,24.80,4.04,3.00
