Year,River,Fishery_Type,Coho_Harvest_Count,,,
2000,Chilkat River,Troll,17942,,,"Data are all from Brian Elliott, email correspondence 5/26/2020"
2000,Chilkat River,Seine,833,,,"There is a known discrepancy btwn B. Elliott's abundance totals and those calculated by Leon/Justin (e.g., troll catch 2018/2019)"
2000,Chilkat River,Drift Gillnet,15744,,,"This discrepancy is due to how to calc contributions; B. Elliot's method uses a different strata/area than the ""preferred"" by the MTA lab"
2000,Chilkat River,Sport (marine),938,,,"For more information on this, emails from Eric Keller, 7/9/2020 summarize this. "
2000,Chilkat River,Sport (freshwater),688,,,"In the opinion of JTP, Brian's calculations are better for estimating week-to-week contributions but possibly biased on an annual basis"
2000,Chilkat River,Subsistence,199,,,For Sport (Freshwater) SWHS harvest estimate from Chilkat River drainage and Chilkat Lake only; 2019 estimate based on historical proportion of total run
2001,Chilkat River,Troll,32242,,,"For Subsistence, a portion (~16%) of total subsistence harvest occurs in Chilkat Inlet, assumed to be Chilkat coho."
2001,Chilkat River,Seine,673,,,
2001,Chilkat River,Drift Gillnet,13709,,,
2001,Chilkat River,Sport (marine),652,,,
2001,Chilkat River,Sport (freshwater),1938,,,
2001,Chilkat River,Subsistence,126,,,
2002,Chilkat River,Troll,63737,,,
2002,Chilkat River,Seine,812,,,
2002,Chilkat River,Drift Gillnet,74590,,,
2002,Chilkat River,Sport (marine),2243,,,
2002,Chilkat River,Sport (freshwater),2848,,,
2002,Chilkat River,Subsistence,574,,,
2003,Chilkat River,Troll,51419,,,
2003,Chilkat River,Seine,1268,,,
2003,Chilkat River,Drift Gillnet,26305,,,
2003,Chilkat River,Sport (marine),3782,,,
2003,Chilkat River,Sport (freshwater),2342,,,
2003,Chilkat River,Subsistence,498,,,
2004,Chilkat River,Troll,87087,,,
2004,Chilkat River,Seine,937,,,
2004,Chilkat River,Drift Gillnet,35155,,,
2004,Chilkat River,Sport (marine),7611,,,
2004,Chilkat River,Sport (freshwater),2822,,,
2004,Chilkat River,Subsistence,455,,,
2005,Chilkat River,Troll,16979,,,
2005,Chilkat River,Seine,325,,,
2005,Chilkat River,Drift Gillnet,10590,,,
2005,Chilkat River,Sport (marine),734,,,
2005,Chilkat River,Sport (freshwater),1203,,,
2005,Chilkat River,Subsistence,335,,,
2006,Chilkat River,Troll,42196,,,
2006,Chilkat River,Seine,295,,,
2006,Chilkat River,Drift Gillnet,26246,,,
2006,Chilkat River,Sport (marine),1219,,,
2006,Chilkat River,Sport (freshwater),1782,,,
2006,Chilkat River,Subsistence,353,,,
2007,Chilkat River,Troll,8078,,,
2007,Chilkat River,Seine,0,,,
2007,Chilkat River,Drift Gillnet,3986,,,
2007,Chilkat River,Sport (marine),0,,,
2007,Chilkat River,Sport (freshwater),521,,,
2007,Chilkat River,Subsistence,107,,,
2008,Chilkat River,Troll,23875,,,
2008,Chilkat River,Seine,0,,,
2008,Chilkat River,Drift Gillnet,28727,,,
2008,Chilkat River,Sport (marine),221,,,
2008,Chilkat River,Sport (freshwater),738,,,
2008,Chilkat River,Subsistence,390,,,
2009,Chilkat River,Troll,14911,,,
2009,Chilkat River,Seine,301,,,
2009,Chilkat River,Drift Gillnet,15179,,,
2009,Chilkat River,Sport (marine),37,,,
2009,Chilkat River,Sport (freshwater),2059,,,
2009,Chilkat River,Subsistence,460,,,
2010,Chilkat River,Troll,28646,,,
2010,Chilkat River,Seine,247,,,
2010,Chilkat River,Drift Gillnet,37587,,,
2010,Chilkat River,Sport (marine),1810,,,
2010,Chilkat River,Sport (freshwater),449,,,
2010,Chilkat River,Subsistence,344,,,
2011,Chilkat River,Troll,18778,,,
2011,Chilkat River,Seine,1271,,,
2011,Chilkat River,Drift Gillnet,13897,,,
2011,Chilkat River,Sport (marine),585,,,
2011,Chilkat River,Sport (freshwater),1184,,,
2011,Chilkat River,Subsistence,299,,,
2012,Chilkat River,Troll,11806,,,
2012,Chilkat River,Seine,0,,,
2012,Chilkat River,Drift Gillnet,15426,,,
2012,Chilkat River,Sport (marine),682,,,
2012,Chilkat River,Sport (freshwater),397,,,
2012,Chilkat River,Subsistence,210,,,
2013,Chilkat River,Troll,24500,,,
2013,Chilkat River,Seine,949,,,
2013,Chilkat River,Drift Gillnet,41924,,,
2013,Chilkat River,Sport (marine),854,,,
2013,Chilkat River,Sport (freshwater),1014,,,
2013,Chilkat River,Subsistence,445,,,
2014,Chilkat River,Troll,12424,,,
2014,Chilkat River,Seine,0,,,
2014,Chilkat River,Drift Gillnet,13822,,,
2014,Chilkat River,Sport (marine),245,,,
2014,Chilkat River,Sport (freshwater),958,,,
2014,Chilkat River,Subsistence,513,,,
2015,Chilkat River,Troll,11201,,,
2015,Chilkat River,Seine,252,,,
2015,Chilkat River,Drift Gillnet,11552,,,
2015,Chilkat River,Sport (marine),409,,,
2015,Chilkat River,Sport (freshwater),988,,,
2015,Chilkat River,Subsistence,361,,,
2016,Chilkat River,Troll,1600,,,
2016,Chilkat River,Seine,0,,,
2016,Chilkat River,Drift Gillnet,7283,,,
2016,Chilkat River,Sport (marine),237,,,
2016,Chilkat River,Sport (freshwater),512,,,
2016,Chilkat River,Subsistence,310,,,
2017,Chilkat River,Troll,6056,,,
2017,Chilkat River,Seine,0,,,
2017,Chilkat River,Drift Gillnet,9122,,,
2017,Chilkat River,Sport (marine),1235,,,
2017,Chilkat River,Sport (freshwater),1239,,,
2017,Chilkat River,Subsistence,257,,,
2018,Chilkat River,Troll,22602,,,
2018,Chilkat River,Seine,0,,,
2018,Chilkat River,Drift Gillnet,7894,,,
2018,Chilkat River,Sport (marine),739,,,
2018,Chilkat River,Sport (freshwater),1154,,,
2018,Chilkat River,Subsistence,320,,,
2019,Chilkat River,Troll,19783,,,
2019,Chilkat River,Seine,0,,,
2019,Chilkat River,Drift Gillnet,11322,,,
2019,Chilkat River,Sport (marine),0,,,
2019,Chilkat River,Sport (freshwater),916,,,
2019,Chilkat River,Subsistence,306,,,
