Year,River,Species,Escapement_Count,Count_Type,Expansion
1972,Auke Creek,Coho Salmon,NA,NA,NA
1973,Auke Creek,Coho Salmon,NA,NA,NA
1974,Auke Creek,Coho Salmon,NA,NA,NA
1975,Auke Creek,Coho Salmon,NA,NA,NA
1976,Auke Creek,Coho Salmon,NA,NA,NA
1977,Auke Creek,Coho Salmon,NA,NA,NA
1978,Auke Creek,Coho Salmon,NA,NA,NA
1979,Auke Creek,Coho Salmon,NA,NA,NA
1980,Auke Creek,Coho Salmon,698,Weir,Unexpanded
1981,Auke Creek,Coho Salmon,646,Weir,Unexpanded
1982,Auke Creek,Coho Salmon,447,Weir,Unexpanded
1983,Auke Creek,Coho Salmon,694,Weir,Unexpanded
1984,Auke Creek,Coho Salmon,651,Weir,Unexpanded
1985,Auke Creek,Coho Salmon,942,Weir,Unexpanded
1986,Auke Creek,Coho Salmon,454,Weir,Unexpanded
1987,Auke Creek,Coho Salmon,668,Weir,Unexpanded
1988,Auke Creek,Coho Salmon,756,Weir,Unexpanded
1989,Auke Creek,Coho Salmon,502,Weir,Unexpanded
1990,Auke Creek,Coho Salmon,697,Weir,Unexpanded
1991,Auke Creek,Coho Salmon,808,Weir,Unexpanded
1992,Auke Creek,Coho Salmon,1020,Weir,Unexpanded
1993,Auke Creek,Coho Salmon,859,Weir,Unexpanded
1994,Auke Creek,Coho Salmon,1437,Weir,Unexpanded
1995,Auke Creek,Coho Salmon,460,Weir,Unexpanded
1996,Auke Creek,Coho Salmon,515,Weir,Unexpanded
1997,Auke Creek,Coho Salmon,609,Weir,Unexpanded
1998,Auke Creek,Coho Salmon,862,Weir,Unexpanded
1999,Auke Creek,Coho Salmon,845,Weir,Unexpanded
2000,Auke Creek,Coho Salmon,683,Weir,Unexpanded
2001,Auke Creek,Coho Salmon,865,Weir,Unexpanded
2002,Auke Creek,Coho Salmon,1176,Weir,Unexpanded
2003,Auke Creek,Coho Salmon,585,Weir,Unexpanded
2004,Auke Creek,Coho Salmon,416,Weir,Unexpanded
2005,Auke Creek,Coho Salmon,450,Weir,Unexpanded
2006,Auke Creek,Coho Salmon,581,Weir,Unexpanded
2007,Auke Creek,Coho Salmon,352,Weir,Unexpanded
2008,Auke Creek,Coho Salmon,600,Weir,Unexpanded
2009,Auke Creek,Coho Salmon,360,Weir,Unexpanded
2010,Auke Creek,Coho Salmon,417,Weir,Unexpanded
2011,Auke Creek,Coho Salmon,517,Weir,Unexpanded
2012,Auke Creek,Coho Salmon,837,Weir,Unexpanded
2013,Auke Creek,Coho Salmon,736,Weir,Unexpanded
2014,Auke Creek,Coho Salmon,1533,Weir,Unexpanded
2015,Auke Creek,Coho Salmon,517,Weir,Unexpanded
2016,Auke Creek,Coho Salmon,204,Weir,Unexpanded
2017,Auke Creek,Coho Salmon,283,Weir,Unexpanded
2018,Auke Creek,Coho Salmon,146,Weir,Unexpanded
2019,Auke Creek,Coho Salmon,345,Weir,Unexpanded
1972,Montana Creek,Coho Salmon,NA,NA,NA
1973,Montana Creek,Coho Salmon,NA,NA,NA
1974,Montana Creek,Coho Salmon,NA,NA,NA
1975,Montana Creek,Coho Salmon,NA,NA,NA
1976,Montana Creek,Coho Salmon,NA,NA,NA
1977,Montana Creek,Coho Salmon,NA,NA,NA
1978,Montana Creek,Coho Salmon,NA,NA,NA
1979,Montana Creek,Coho Salmon,NA,NA,NA
1980,Montana Creek,Coho Salmon,NA,NA,NA
1981,Montana Creek,Coho Salmon,227,Survey,Unexpanded
1982,Montana Creek,Coho Salmon,545,Survey,Unexpanded
1983,Montana Creek,Coho Salmon,636,Survey,Unexpanded
1984,Montana Creek,Coho Salmon,581,Survey,Unexpanded
1985,Montana Creek,Coho Salmon,810,Survey,Unexpanded
1986,Montana Creek,Coho Salmon,60,Survey,Unexpanded
1987,Montana Creek,Coho Salmon,314,Survey,Unexpanded
1988,Montana Creek,Coho Salmon,164,Survey,Unexpanded
1989,Montana Creek,Coho Salmon,566,Survey,Unexpanded
1990,Montana Creek,Coho Salmon,1711,Survey,Unexpanded
1991,Montana Creek,Coho Salmon,1415,Survey,Unexpanded
1992,Montana Creek,Coho Salmon,2512,Survey,Unexpanded
1993,Montana Creek,Coho Salmon,1352,Survey,Unexpanded
1994,Montana Creek,Coho Salmon,1829,Survey,Unexpanded
1995,Montana Creek,Coho Salmon,600,Survey,Unexpanded
1996,Montana Creek,Coho Salmon,798,Survey,Unexpanded
1997,Montana Creek,Coho Salmon,1018,Survey,Unexpanded
1998,Montana Creek,Coho Salmon,1160,Survey,Unexpanded
1999,Montana Creek,Coho Salmon,1000,Survey,Unexpanded
2000,Montana Creek,Coho Salmon,961,Survey,Unexpanded
2001,Montana Creek,Coho Salmon,1119,Survey,Unexpanded
2002,Montana Creek,Coho Salmon,2448,Survey,Unexpanded
2003,Montana Creek,Coho Salmon,808,Survey,Unexpanded
2004,Montana Creek,Coho Salmon,364,Survey,Unexpanded
2005,Montana Creek,Coho Salmon,351,Survey,Unexpanded
2006,Montana Creek,Coho Salmon,1110,Survey,Unexpanded
2007,Montana Creek,Coho Salmon,324,Survey,Unexpanded
2008,Montana Creek,Coho Salmon,405,Survey,Unexpanded
2009,Montana Creek,Coho Salmon,698,Survey,Unexpanded
2010,Montana Creek,Coho Salmon,630,Survey,Unexpanded
2011,Montana Creek,Coho Salmon,709,Survey,Unexpanded
