Year,River,Fishery_Type,Coho_Harvest_Count
1980,Auke Creek,AK_Gillnet (Drift & Set),29
1980,Auke Creek,AK_Other,0
1980,Auke Creek,AK_Seine,0
1980,Auke Creek,AK_Sport,24
1980,Auke Creek,AK_Troll,117
1980,Auke Creek,CAN_AllFisheries,0
1981,Auke Creek,AK_Gillnet (Drift & Set),31
1981,Auke Creek,AK_Other,0
1981,Auke Creek,AK_Seine,0
1981,Auke Creek,AK_Sport,19
1981,Auke Creek,AK_Troll,280
1981,Auke Creek,CAN_AllFisheries,0
1982,Auke Creek,AK_Gillnet (Drift & Set),24
1982,Auke Creek,AK_Other,0
1982,Auke Creek,AK_Seine,117
1982,Auke Creek,AK_Sport,2
1982,Auke Creek,AK_Troll,149
1982,Auke Creek,CAN_AllFisheries,0
1983,Auke Creek,AK_Gillnet (Drift & Set),28
1983,Auke Creek,AK_Other,0
1983,Auke Creek,AK_Seine,10
1983,Auke Creek,AK_Sport,122
1983,Auke Creek,AK_Troll,385
1983,Auke Creek,CAN_AllFisheries,0
1984,Auke Creek,AK_Gillnet (Drift & Set),13
1984,Auke Creek,AK_Other,0
1984,Auke Creek,AK_Seine,8
1984,Auke Creek,AK_Sport,51
1984,Auke Creek,AK_Troll,372
1984,Auke Creek,CAN_AllFisheries,0
1985,Auke Creek,AK_Gillnet (Drift & Set),71
1985,Auke Creek,AK_Other,0
1985,Auke Creek,AK_Seine,3
1985,Auke Creek,AK_Sport,73
1985,Auke Creek,AK_Troll,594
1985,Auke Creek,CAN_AllFisheries,0
1986,Auke Creek,AK_Gillnet (Drift & Set),60
1986,Auke Creek,AK_Other,0
1986,Auke Creek,AK_Seine,2
1986,Auke Creek,AK_Sport,37
1986,Auke Creek,AK_Troll,421
1986,Auke Creek,CAN_AllFisheries,0
1987,Auke Creek,AK_Gillnet (Drift & Set),48
1987,Auke Creek,AK_Other,0
1987,Auke Creek,AK_Seine,2
1987,Auke Creek,AK_Sport,23
1987,Auke Creek,AK_Troll,438
1987,Auke Creek,CAN_AllFisheries,0
1988,Auke Creek,AK_Gillnet (Drift & Set),72
1988,Auke Creek,AK_Other,0
1988,Auke Creek,AK_Seine,12
1988,Auke Creek,AK_Sport,55
1988,Auke Creek,AK_Troll,306
1988,Auke Creek,CAN_AllFisheries,0
1989,Auke Creek,AK_Gillnet (Drift & Set),15
1989,Auke Creek,AK_Other,0
1989,Auke Creek,AK_Seine,7
1989,Auke Creek,AK_Sport,49
1989,Auke Creek,AK_Troll,533
1989,Auke Creek,CAN_AllFisheries,0
1990,Auke Creek,AK_Gillnet (Drift & Set),57
1990,Auke Creek,AK_Other,0
1990,Auke Creek,AK_Seine,15
1990,Auke Creek,AK_Sport,78
1990,Auke Creek,AK_Troll,635
1990,Auke Creek,CAN_AllFisheries,0
1991,Auke Creek,AK_Gillnet (Drift & Set),152
1991,Auke Creek,AK_Other,0
1991,Auke Creek,AK_Seine,8
1991,Auke Creek,AK_Sport,11
1991,Auke Creek,AK_Troll,200
1991,Auke Creek,CAN_AllFisheries,0
1992,Auke Creek,AK_Gillnet (Drift & Set),196
1992,Auke Creek,AK_Other,0
1992,Auke Creek,AK_Seine,10
1992,Auke Creek,AK_Sport,46
1992,Auke Creek,AK_Troll,603
1992,Auke Creek,CAN_AllFisheries,0
1993,Auke Creek,AK_Gillnet (Drift & Set),92
1993,Auke Creek,AK_Other,0
1993,Auke Creek,AK_Seine,8
1993,Auke Creek,AK_Sport,19
1993,Auke Creek,AK_Troll,611
1993,Auke Creek,CAN_AllFisheries,0
1994,Auke Creek,AK_Gillnet (Drift & Set),218
1994,Auke Creek,AK_Other,0
1994,Auke Creek,AK_Seine,224
1994,Auke Creek,AK_Sport,112
1994,Auke Creek,AK_Troll,1064
1994,Auke Creek,CAN_AllFisheries,0
1995,Auke Creek,AK_Gillnet (Drift & Set),65
1995,Auke Creek,AK_Other,0
1995,Auke Creek,AK_Seine,5
1995,Auke Creek,AK_Sport,26
1995,Auke Creek,AK_Troll,264
1995,Auke Creek,CAN_AllFisheries,0
1996,Auke Creek,AK_Gillnet (Drift & Set),133
1996,Auke Creek,AK_Other,0
1996,Auke Creek,AK_Seine,11
1996,Auke Creek,AK_Sport,36
1996,Auke Creek,AK_Troll,446
1996,Auke Creek,CAN_AllFisheries,0
1997,Auke Creek,AK_Gillnet (Drift & Set),0
1997,Auke Creek,AK_Other,0
1997,Auke Creek,AK_Seine,4
1997,Auke Creek,AK_Sport,50
1997,Auke Creek,AK_Troll,94
1997,Auke Creek,CAN_AllFisheries,0
1998,Auke Creek,AK_Gillnet (Drift & Set),43
1998,Auke Creek,AK_Other,0
1998,Auke Creek,AK_Seine,17
1998,Auke Creek,AK_Sport,54
1998,Auke Creek,AK_Troll,437
1998,Auke Creek,CAN_AllFisheries,0
1999,Auke Creek,AK_Gillnet (Drift & Set),58
1999,Auke Creek,AK_Other,0
1999,Auke Creek,AK_Seine,5
1999,Auke Creek,AK_Sport,42
1999,Auke Creek,AK_Troll,485
1999,Auke Creek,CAN_AllFisheries,0
2000,Auke Creek,AK_Gillnet (Drift & Set),23
2000,Auke Creek,AK_Other,0
2000,Auke Creek,AK_Seine,6
2000,Auke Creek,AK_Sport,29
2000,Auke Creek,AK_Troll,228
2000,Auke Creek,CAN_AllFisheries,0
2001,Auke Creek,AK_Gillnet (Drift & Set),41
2001,Auke Creek,AK_Other,0
2001,Auke Creek,AK_Seine,10
2001,Auke Creek,AK_Sport,55
2001,Auke Creek,AK_Troll,435
2001,Auke Creek,CAN_AllFisheries,0
2002,Auke Creek,AK_Gillnet (Drift & Set),77
2002,Auke Creek,AK_Other,0
2002,Auke Creek,AK_Seine,8
2002,Auke Creek,AK_Sport,51
2002,Auke Creek,AK_Troll,288
2002,Auke Creek,CAN_AllFisheries,0
2003,Auke Creek,AK_Gillnet (Drift & Set),59
2003,Auke Creek,AK_Other,0
2003,Auke Creek,AK_Seine,4
2003,Auke Creek,AK_Sport,45
2003,Auke Creek,AK_Troll,211
2003,Auke Creek,CAN_AllFisheries,0
2004,Auke Creek,AK_Gillnet (Drift & Set),71
2004,Auke Creek,AK_Other,0
2004,Auke Creek,AK_Seine,47
2004,Auke Creek,AK_Sport,15
2004,Auke Creek,AK_Troll,199
2004,Auke Creek,CAN_AllFisheries,0
2005,Auke Creek,AK_Gillnet (Drift & Set),6
2005,Auke Creek,AK_Other,0
2005,Auke Creek,AK_Seine,0
2005,Auke Creek,AK_Sport,31
2005,Auke Creek,AK_Troll,240
2005,Auke Creek,CAN_AllFisheries,0
2006,Auke Creek,AK_Gillnet (Drift & Set),77
2006,Auke Creek,AK_Other,0
2006,Auke Creek,AK_Seine,0
2006,Auke Creek,AK_Sport,26
2006,Auke Creek,AK_Troll,196
2006,Auke Creek,CAN_AllFisheries,0
2007,Auke Creek,AK_Gillnet (Drift & Set),30
2007,Auke Creek,AK_Other,0
2007,Auke Creek,AK_Seine,6
2007,Auke Creek,AK_Sport,14
2007,Auke Creek,AK_Troll,134
2007,Auke Creek,CAN_AllFisheries,0
2008,Auke Creek,AK_Gillnet (Drift & Set),76
2008,Auke Creek,AK_Other,0
2008,Auke Creek,AK_Seine,0
2008,Auke Creek,AK_Sport,9
2008,Auke Creek,AK_Troll,292
2008,Auke Creek,CAN_AllFisheries,0
2009,Auke Creek,AK_Gillnet (Drift & Set),46
2009,Auke Creek,AK_Other,0
2009,Auke Creek,AK_Seine,0
2009,Auke Creek,AK_Sport,8
2009,Auke Creek,AK_Troll,179
2009,Auke Creek,CAN_AllFisheries,0
