DOL Year,Region,District,Stat Area,Gear Code and Name,Harvest Code And Name,Species Code,Stat Week,Number Of Animals (sum),,,"OceanAK Output: JTP Jan 11, 2021",
2000,1,101,10111,03 - Drift gillnet,11 - State managed fishery,430,26,82,,,Subject Area:,
2000,1,101,10111,03 - Drift gillnet,11 - State managed fishery,430,27,322,,,,Statewide - Salmon - Fishtickets
2000,1,101,10111,03 - Drift gillnet,11 - State managed fishery,430,28,697,,,Filters:,
2000,1,101,10111,03 - Drift gillnet,11 - State managed fishery,430,29,630,,,,DOL Year 2000-2019 
2000,1,101,10111,03 - Drift gillnet,11 - State managed fishery,430,30,848,,,,StatArea = 10111
2000,1,101,10111,03 - Drift gillnet,11 - State managed fishery,430,31,932,,,,Species Code = 430
2000,1,101,10111,03 - Drift gillnet,11 - State managed fishery,430,32,2236,,,,Gear Code & Name = 03 - Drift Gillnet
2000,1,101,10111,03 - Drift gillnet,11 - State managed fishery,430,33,2829,,,,
2000,1,101,10111,03 - Drift gillnet,11 - State managed fishery,430,34,2180,,,,
2000,1,101,10111,03 - Drift gillnet,11 - State managed fishery,430,35,1155,,,,
2000,1,101,10111,03 - Drift gillnet,11 - State managed fishery,430,36,1533,,,,
2000,1,101,10111,03 - Drift gillnet,11 - State managed fishery,430,37,1361,,,,
2000,1,101,10111,03 - Drift gillnet,11 - State managed fishery,430,38,1535,,,,
2000,1,101,10111,03 - Drift gillnet,11 - State managed fishery,430,39,1869,,,,
2001,1,101,10111,03 - Drift gillnet,11 - State managed fishery,430,25,74,,,,
2001,1,101,10111,03 - Drift gillnet,11 - State managed fishery,430,26,789,,,,
2001,1,101,10111,03 - Drift gillnet,11 - State managed fishery,430,27,782,,,,
2001,1,101,10111,03 - Drift gillnet,11 - State managed fishery,430,28,575,,,,
2001,1,101,10111,03 - Drift gillnet,11 - State managed fishery,430,29,1042,,,,
2001,1,101,10111,03 - Drift gillnet,11 - State managed fishery,430,30,1283,,,,
2001,1,101,10111,03 - Drift gillnet,11 - State managed fishery,430,31,1854,,,,
