Year,Species,Location,CohoTotalCommHarvest_Count,CohoHatcheryOriginHarvest_Count,,"Data from 1878 to 1969 from Byerly et al. (1999), Alaska Commercial Salmon Catches, 1878-1997, Alaska Department of Fish and Game, Regional Information Report No. 5J99-05, Juneau.",,,,,,
1888,Coho Salmon,SEAK,"16,000",0,,Individual species harvests may not add to the all-species total for 1878-1959 because of rounding and because of historical reports which did not provide harvest by species.,,,,,,
1889,Coho Salmon,SEAK,"11,000",0,,"Comm data from 1969 to 1984 are from  ADF&G database OceanAK, Statewide - salmon - Historical Fish Tickets, all coho harvest from districts 101 - 192",,,,,,
1890,Coho Salmon,SEAK,"44,000",0,,"Comm data from 1985 to 2019 are OceanAK ""Statewide - Salmon - Fish tickets"", all coho harvest from districts 101 - 192, excluding ""Private Hatchery - Fishing"" and ""Private Hatchery - Carcass Sale""",,,,,,
1891,Coho Salmon,SEAK,"24,000",0,,Hatchery contributions are from Leon's file HATCONT4.xls 1888-2018. 2019 data (and as far as I can tell how Leon did it) are as follows:,,,,,,
1892,Coho Salmon,SEAK,"15,000",0,,"MTA CWT Report for all harvest; Rearing code = ""H""; Source not equal to ""Hatchery"", ""Escape"", or ""Cost Rec""; Harvest not equal to ""PNP Fish"" or blank; Survey Site not equal to ""Cordova"". Sum all contribution.",,,,,,
1893,Coho Salmon,SEAK,"257,000",0,,,,,,,,
1894,Coho Salmon,SEAK,"347,000",0,,,,,,,,
1895,Coho Salmon,SEAK,"609,000",0,,,,,,,,
1896,Coho Salmon,SEAK,"241,000",0,,,,,,,,
1897,Coho Salmon,SEAK,"268,000",0,,,,,,,,
1898,Coho Salmon,SEAK,"292,000",0,,,,,,,,
1899,Coho Salmon,SEAK,"281,000",0,,,,,,,,
1900,Coho Salmon,SEAK,"298,000",0,,,,,,,,
1901,Coho Salmon,SEAK,"281,000",0,,,,,,,,
1902,Coho Salmon,SEAK,"235,000",0,,,,,,,,
1903,Coho Salmon,SEAK,"654,000",0,,,,,,,,
1904,Coho Salmon,SEAK,"518,000",0,,,,,,,,
1905,Coho Salmon,SEAK,"399,000",0,,,,,,,,
1906,Coho Salmon,SEAK,"659,000",0,,,,,,,,
1907,Coho Salmon,SEAK,"503,000",0,,,,,,,,
1908,Coho Salmon,SEAK,"458,000",0,,,,,,,,
1909,Coho Salmon,SEAK,"332,000",0,,,,,,,,
1910,Coho Salmon,SEAK,"646,000",0,,,,,,,,
1911,Coho Salmon,SEAK,"902,000",0,,,,,,,,
1912,Coho Salmon,SEAK,"1,099,000",0,,,,,,,,
1913,Coho Salmon,SEAK,"577,000",0,,,,,,,,
1914,Coho Salmon,SEAK,"915,000",0,,,,,,,,
1915,Coho Salmon,SEAK,"871,000",0,,,,,,,,
1916,Coho Salmon,SEAK,"1,588,000",0,,,,,,,,
