ReturnYear,Auke Creek,Berners River,Chilkat River,Taku River,Hugh Smith Lake,Ford Arm Creek
1980,9.9,NA,NA,NA,NA,NA
1981,9.1,NA,NA,NA,NA,NA
1982,10.6,NA,NA,NA,NA,5.9
1983,18.1,NA,NA,NA,13.3,9.7
1984,15.9,NA,NA,NA,7.6,NA
1985,24.6,NA,NA,NA,7.6,12.5
1986,16.6,NA,NA,NA,18.5,9
1987,21,NA,NA,NA,10.3,4.6
1988,17.1,NA,NA,NA,4.1,6.8
1989,14.4,NA,NA,NA,8.6,11.9
1990,21.1,22.3,NA,NA,18,9.6
1991,23,26.7,NA,NA,17.4,10.7
1992,33,26.5,NA,19.7,20.9,15.1
1993,24.1,16.4,NA,16.5,13,21.9
1994,35.3,30.2,NA,23,19.5,13.9
1995,10.9,16.5,NA,11.9,13.5,5
1996,23.4,12.9,NA,9.6,17.7,6.4
1997,19.2,13.3,NA,6.7,8.3,14.6
1998,23.1,17.7,NA,14,11.7,20
1999,19.3,14.1,NA,9.9,14.1,7.7
2000,18.5,13.1,9.8,6.5,6.8,12.9
2001,28.3,13.7,13.2,9,13.4,8.4
2002,26.8,21.4,11.8,11.1,14.8,14.7
2003,25,21.2,12.9,9.7,13.7,17.1
2004,20.2,19.8,10.4,8.5,10.8,11.9
2005,16,9.7,8.3,5.9,9.1,8.4
2006,20.5,13.8,8.4,10.5,6.8,10
2007,11.9,8.4,4.3,4.4,8.9,10.3
2008,24.1,18,12.3,8.6,13.1,15.3
2009,15.5,10.1,11.3,8,18.3,7.4
2010,16.4,14.9,17.7,10.9,21.1,6.9
2011,13.1,10.4,9.5,8.5,10.4,12.5
2012,10.3,8.7,5.3,7.7,12.8,7.2
2013,20.8,14.8,15.3,10.7,17.2,7.2
2014,20.1,13,18.1,16.4,16.3,7.2
2015,12,10.6,11.4,15.5,5.8,6.6
2016,4.1,6.4,4.3,6.7,6.7,NA
2017,5,4.9,7.7,5.1,6.9,NA
2018,7.1,6.7,8.2,5.2,3,NA
2019,10,11.5,15.7,11,8.7,NA
