SmoltYear, Auke Creek , Berners River , Chilkat River , Taku River , Hugh Smith Lake , Ford Arm Creek ,,,
1980,"8,789",NA,NA,NA,NA,NA,,,
1981,"10,714",NA,NA,NA,NA,"79,059",,,
1982,"6,967",NA,NA,NA,NA,"63,686",,,
1983,"6,849",NA,NA,NA,NA,NA,,,
1984,"6,901",NA,NA,NA,"29,117","38,509",,,
1985,"6,838",NA,NA,NA,"53,227","45,748",,,Taku <92 from Leon
1986,"5,852",NA,NA,NA,"32,283","70,322",,,Taku 92-19 from Jeff
1987,"5,617",NA,NA,NA,"23,572","88,983",,,Berners all calc'd by JTP; excluded 1989 b/c it disagreed with Leon's estimate
1988,"7,014",NA,NA,NA,"21,878","51,658",,,Hugh Smith 91-19 calc'd by JTP
1989,"7,685",NA,NA,NA,"36,218","54,851",,,Hugh Smith <91 from Leon
1990,"7,011","131,831",NA,NA,"27,904","56,284",,,Form Arm data all from Leon
1991,"5,137","169,823",NA,"1,080,551","23,580","61,728",,,Chilkat data were emailed B. Elliott 26 Aug 2020
1992,"5,690","326,369",NA,"1,510,032","33,231","57,401",,,
1993,"6,596","255,431",NA,"1,475,874","48,624","82,893",,,
1994,"8,647","181,503",NA,"1,525,330","50,024","134,640",,,
1995,"7,495","194,019",NA,"986,489","22,173","91,605",,,
1996,"4,884","133,629",NA,"759,763","31,921","66,772",,,
1997,"3,934","140,107",NA,"853,662","37,580","80,517",,,
1998,"6,111","252,174",NA,"1,184,195","30,057","132,655",,,
1999,"7,420","183,031","1,237,056","1,728,240","20,055","62,444",,,
2000,"5,233","268,498","1,185,804","1,846,629","23,327","102,610",,,
2001,"4,969","264,380","2,970,458","2,718,816","36,524","102,918",,,
2002,"5,980","148,394","1,696,212","2,988,349","26,807","77,081",,,
2003,"3,616","184,401","1,938,322","2,961,344","23,495","101,579",,,
2004,"3,695","153,532","776,934","3,755,274","40,462","120,632",,,
2005,"4,549","124,248","1,807,837","2,149,673","28,244","98,470",,,
2006,"4,287","114,091","875,478","3,152,471","37,171","84,017",,,
2007,"4,515","89,078","893,032","2,073,988","28,992","72,315",,,
2008,"4,053","96,955","716,689","2,949,043","24,181","96,180",,,
2009,"3,815","157,633","872,829","2,270,500","25,754","64,349",,,
2010,"4,667","129,217","1,026,314","1,526,065","38,033","86,996",,,
2011,"6,053","112,392","1,229,468","1,463,444","32,493","86,174",,,
2012,"10,333","150,893","788,387","1,330,594","40,797","99,144",,,
2013,"6,143","231,680","875,312","888,434","47,131","149,090",,,
2014,"9,575","171,515","639,750","700,632","33,444","104,490",,,
2015,"5,793","181,638","841,505","1,879,107","38,018",NA,,,
2016,"6,418","325,812","666,396","2,101,774","35,308",NA,,,
2017,"9,590","129,311","1,193,507","1,618,411","51,174",NA,,,
2018,"4,178","131,125","498,938","1,061,978","29,838",NA,,,
2019,"4,844",,,,,,,,
