Year,Region,Species,Fishery,Harvest_Count,,,* Sport Harvest data are from: http://www.adfg.alaska.gov/sf/sportfishingsurvey/index.cfm?ADFG=region.results
1977,SEAK,Coho Salmon,Freshwater Sport,"4,330",,,
1978,SEAK,Coho Salmon,Freshwater Sport,"5,833",,,
1979,SEAK,Coho Salmon,Freshwater Sport,"4,225",,,
1980,SEAK,Coho Salmon,Freshwater Sport,"6,792",,,
1981,SEAK,Coho Salmon,Freshwater Sport,"6,859",,,
1982,SEAK,Coho Salmon,Freshwater Sport,"7,072",,,
1983,SEAK,Coho Salmon,Freshwater Sport,"10,591",,,
1984,SEAK,Coho Salmon,Freshwater Sport,"13,959",,,
1985,SEAK,Coho Salmon,Freshwater Sport,"11,096",,,
1986,SEAK,Coho Salmon,Freshwater Sport,"11,036",,,
1987,SEAK,Coho Salmon,Freshwater Sport,"7,522",,,
1988,SEAK,Coho Salmon,Freshwater Sport,"9,494",,,
1989,SEAK,Coho Salmon,Freshwater Sport,"14,713",,,
1990,SEAK,Coho Salmon,Freshwater Sport,"6,960",,,
1991,SEAK,Coho Salmon,Freshwater Sport,"14,749",,,
1992,SEAK,Coho Salmon,Freshwater Sport,"15,272",,,
1993,SEAK,Coho Salmon,Freshwater Sport,"14,848",,,
1994,SEAK,Coho Salmon,Freshwater Sport,"15,413",,,
1995,SEAK,Coho Salmon,Freshwater Sport,"13,289",,,
1996,SEAK,Coho Salmon,Freshwater Sport,"17,534",,,
1997,SEAK,Coho Salmon,Freshwater Sport,"18,867",,,
1998,SEAK,Coho Salmon,Freshwater Sport,"18,957",,,
1999,SEAK,Coho Salmon,Freshwater Sport,"30,883",,,
2000,SEAK,Coho Salmon,Freshwater Sport,"21,075",,,
2001,SEAK,Coho Salmon,Freshwater Sport,"24,093",,,
2002,SEAK,Coho Salmon,Freshwater Sport,"27,136",,,
2003,SEAK,Coho Salmon,Freshwater Sport,"31,989",,,
2004,SEAK,Coho Salmon,Freshwater Sport,"38,498",,,
2005,SEAK,Coho Salmon,Freshwater Sport,"26,057",,,
2006,SEAK,Coho Salmon,Freshwater Sport,"24,944",,,
2007,SEAK,Coho Salmon,Freshwater Sport,"26,974",,,
2008,SEAK,Coho Salmon,Freshwater Sport,"26,102",,,
2009,SEAK,Coho Salmon,Freshwater Sport,"27,370",,,
2010,SEAK,Coho Salmon,Freshwater Sport,"25,473",,,
2011,SEAK,Coho Salmon,Freshwater Sport,"34,960",,,
2012,SEAK,Coho Salmon,Freshwater Sport,"27,652",,,
2013,SEAK,Coho Salmon,Freshwater Sport,"29,050",,,
2014,SEAK,Coho Salmon,Freshwater Sport,"32,685",,,
2015,SEAK,Coho Salmon,Freshwater Sport,"32,021",,,
2016,SEAK,Coho Salmon,Freshwater Sport,"27,711",,,
2017,SEAK,Coho Salmon,Freshwater Sport,"30,385",,,
2018,SEAK,Coho Salmon,Freshwater Sport,"27,908",,,
2019,SEAK,Coho Salmon,Freshwater Sport,"28,536",,,
1977,SEAK,Coho Salmon,Saltwater Sport,"31,822",,,
1978,SEAK,Coho Salmon,Saltwater Sport,"42,675",,,
1979,SEAK,Coho Salmon,Saltwater Sport,"18,887",,,
1980,SEAK,Coho Salmon,Saltwater Sport,"26,016",,,
1981,SEAK,Coho Salmon,Saltwater Sport,"21,299",,,
1982,SEAK,Coho Salmon,Saltwater Sport,"46,364",,,
1983,SEAK,Coho Salmon,Saltwater Sport,"44,812",,,
1984,SEAK,Coho Salmon,Saltwater Sport,"45,853",,,
1985,SEAK,Coho Salmon,Saltwater Sport,"48,814",,,
1986,SEAK,Coho Salmon,Saltwater Sport,"47,286",,,
1987,SEAK,Coho Salmon,Saltwater Sport,"42,762",,,
1988,SEAK,Coho Salmon,Saltwater Sport,"34,194",,,
1989,SEAK,Coho Salmon,Saltwater Sport,"76,076",,,
1990,SEAK,Coho Salmon,Saltwater Sport,"98,252",,,
1991,SEAK,Coho Salmon,Saltwater Sport,"109,197",,,
1992,SEAK,Coho Salmon,Saltwater Sport,"84,667",,,
1993,SEAK,Coho Salmon,Saltwater Sport,"107,026",,,
1994,SEAK,Coho Salmon,Saltwater Sport,"176,447",,,
1995,SEAK,Coho Salmon,Saltwater Sport,"83,839",,,
1996,SEAK,Coho Salmon,Saltwater Sport,"176,224",,,
1997,SEAK,Coho Salmon,Saltwater Sport,"144,335",,,
1998,SEAK,Coho Salmon,Saltwater Sport,"152,438",,,
1999,SEAK,Coho Salmon,Saltwater Sport,"282,193",,,
2000,SEAK,Coho Salmon,Saltwater Sport,"171,876",,,
2001,SEAK,Coho Salmon,Saltwater Sport,"297,013",,,
2002,SEAK,Coho Salmon,Saltwater Sport,"250,014",,,
2003,SEAK,Coho Salmon,Saltwater Sport,"290,893",,,
2004,SEAK,Coho Salmon,Saltwater Sport,"292,153",,,
2005,SEAK,Coho Salmon,Saltwater Sport,"383,246",,,
2006,SEAK,Coho Salmon,Saltwater Sport,"184,633",,,
2007,SEAK,Coho Salmon,Saltwater Sport,"234,471",,,
2008,SEAK,Coho Salmon,Saltwater Sport,"204,605",,,
2009,SEAK,Coho Salmon,Saltwater Sport,"227,382",,,
2010,SEAK,Coho Salmon,Saltwater Sport,"160,830",,,
2011,SEAK,Coho Salmon,Saltwater Sport,"200,897",,,
2012,SEAK,Coho Salmon,Saltwater Sport,"179,874",,,
2013,SEAK,Coho Salmon,Saltwater Sport,"310,535",,,
2014,SEAK,Coho Salmon,Saltwater Sport,"259,887",,,
2015,SEAK,Coho Salmon,Saltwater Sport,"270,532",,,
2016,SEAK,Coho Salmon,Saltwater Sport,"204,946",,,
2017,SEAK,Coho Salmon,Saltwater Sport,"301,002",,,
2018,SEAK,Coho Salmon,Saltwater Sport,"183,340",,,
2019,SEAK,Coho Salmon,Saltwater Sport,"208,244",,,
